a52dec 0.8.0-2
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aha 0.5.1-2
alac-git 0.r26.96dd59d-1
alembic 1.8.6-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amdvlk 2023.Q4.1-1
aom 3.7.0-1
appmenu-gtk-module 0.7.6-1
appstream 0.16.3-1
appstream-qt 0.16.3-1
archlinux-appstream-data 20231010-1
archlinux-keyring 20231026-1
argon2 20190702-5
aribb24 1.0.3-3
aseprite 1.2.40-9
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attica5 5.111.0-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.2-1
authy 2.4.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
awesome 4.3-3
ayatana-ido 0.10.1-1
aylurs-gtk-shell 1.4.0-2
babl 0.1.106-1
baloo-widgets 23.08.2-1
baloo5 5.111.0-1
base-devel 1-1
bash 5.2.015-5
bat 0.24.0-1
bc 1.07.1-4
betterdiscordctl 2.0.1-1
binutils 2.41-3
bison 3.8.2-6
bitwarden 2023.9.2-1
blas 3.11.0-3
blender 17:3.6.5-1
blosc 1.21.5-1
bluedevil 1:5.27.9-1
bluez 5.70-1
bluez-libs 5.70-1
bluez-qt5 5.111.0-1
bolt 0.9.6-1
boost-libs 1.83.0-2
bottom 0.9.6-1
breeze 5.27.9-1
breeze-gtk 5.27.9-1
breeze-icons 5.111.0-1
breeze-plymouth 5.27.9-1
brltty 6.6-2
brotli 1.1.0-1
bsp-layout 0.0.10-3
bspwm 0.9.10-3
btrfs-progs 6.5.3-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.21.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cava-git r900.e5149fe-1
cblas 3.11.0-3
cdparanoia 10.2-8
cfitsio 1:4.3.0-1
chromaprint 1.5.1-7
chromium 119.0.6045.105-1
chrono-date 3.0.1-3
cifs-utils 7.0-3
clang 16.0.6-1
cli-visualizer 1.8-10
clinfo 3.0.21.02.21-1
